source_file,order_date,transaction_type,order_id,sku,product_name,quantity,order_city,order_state,line_revenue,selling_fees,fba_fees,source_system
amazon_sales_2024_01.csv,1/6/2024,Order,401-8628627-6402293,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_01.csv,1/9/2024,Order,618-5283076-7175827,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_02.csv,2/2/2024,Order,422-9283426-9059891,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_02.csv,2/6/2024,Order,228-3514589-1200358,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_02.csv,2/11/2024,Order,108-5291684-1906470,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_02.csv,2/13/2024,Order,136-6560052-6480885,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_03.csv,3/3/2024,Order,829-1970833-1384423,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_03.csv,3/9/2024,Order,256-6982527-3373934,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_03.csv,3/22/2024,Order,887-3932648-3228175,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_03.csv,3/23/2024,Order,146-8167077-5246148,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_03.csv,3/29/2024,Order,124-7395637-9754938,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_03.csv,3/30/2024,Order,228-9291359-8316124,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_04.csv,4/3/2024,Order,887-8202774-5074831,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_04.csv,4/4/2024,Order,984-3727561-8302003,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
amazon_sales_2024_04.csv,4/4/2024,Order,754-2576842-6341127,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65,Amazon Sales
