date/time,type,order id,sku,description,quantity,order city,order state,product sales,selling fees,fba fees
"March 1, 2024",Order,190-4538896-9060145,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,New York,NY,54.9,-8.24,-11.5
"March 1, 2024",Order,254-2659758-1666803,32-IQYL-UHAB,Car Seat for Dog-Black,1,Jacksonville,FL,54.9,-8.24,-8.15
"March 1, 2024",Order,323-8862500-2808611,8O-DXOB-HH5A,Car Seat for Dog-Rainbow,1,Rochester,NY,54.9,-8.24,-8.15
"March 1, 2024",Order,446-9490822-8966480,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,New York,NY,54.9,-8.24,-12.65
"March 1, 2024",Order,354-8433528-5359472,8O-DXOB-HH5A,Car Seat for Dog-Rainbow,1,San Antonio,TX,54.9,-8.24,-8.15
"March 1, 2024",Order,486-2782692-4034469,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Rochester,NY,54.9,-8.24,-12.27
"March 1, 2024",Order,529-9290103-2020557,8O-DXOB-HH5A,Car Seat for Dog-Rainbow,1,Miami,FL,54.9,-8.24,-8.15
"March 1, 2024",Order,339-8627902-6891208,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Seattle,WA,54.9,-8.24,-12.65
"March 1, 2024",Refund,355-1665553-8621776,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,New York,NY,-54.9,8.24,0
"March 2, 2024",Order,703-9790986-6619866,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,San Jose,CA,54.9,-8.24,-11.5
"March 2, 2024",Order,847-5082356-9208517,32-IQYL-UHAB,Car Seat for Dog-Black,1,San Diego,CA,54.9,-8.24,-8.15
"March 2, 2024",Order,365-1416125-2417025,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Miami,FL,54.9,-8.24,-12.65
"March 2, 2024",Order,182-3859454-8641957,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Buffalo,NY,54.9,-8.24,-12.65
"March 2, 2024",Order,927-8919709-2724236,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Rochester,NY,54.9,-8.24,-12.27
"March 2, 2024",Order,385-1610647-5508674,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Tampa,FL,54.9,-8.24,-12.65
"March 2, 2024",Order,117-8628984-6735436,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Denver,CO,54.9,-8.24,-11.5
"March 3, 2024",Refund,927-8919709-2724236,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Rochester,NY,-54.9,8.24,0
"March 3, 2024",Order,829-1970833-1384423,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65
"March 3, 2024",Order,183-7627242-1684586,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,San Diego,CA,54.9,-8.24,-11.5
"March 3, 2024",Order,266-1640758-8089152,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Denver,CO,54.9,-8.24,-11.5
"March 3, 2024",Order,548-4168505-1680943,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Chicago,IL,54.9,-8.24,-12.27
"March 3, 2024",Order,378-8426838-6653905,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,San Diego,CA,54.9,-8.24,-12.27
"March 3, 2024",Order,529-3717934-8223720,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Buffalo,NY,54.9,-8.24,-11.5
"March 3, 2024",Order,737-3884342-5482823,8O-DXOB-HH5A,Car Seat for Dog-Rainbow,1,Chicago,IL,54.9,-8.24,-8.15
"March 3, 2024",Order,824-8661830-7669989,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Dallas,TX,54.9,-8.24,-12.27
"March 3, 2024",Order,833-9910436-4783994,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Seattle,WA,54.9,-8.24,-11.5
"March 3, 2024",Order,499-3691943-5428695,8O-DXOB-HH5A,Car Seat for Dog-Rainbow,1,Phoenix,AZ,54.9,-8.24,-8.15
"March 3, 2024",Order,595-2854142-4684423,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Houston,TX,54.9,-8.24,-11.5
"March 3, 2024",Order,662-8856795-1419155,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,San Diego,CA,54.9,-8.24,-11.5
"March 3, 2024",Order,312-6968578-8345603,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Spokane,WA,54.9,-8.24,-11.5
"March 3, 2024",Order,498-5866051-2386078,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Chicago,IL,54.9,-8.24,-11.5
"March 3, 2024",Order,541-8312036-5471710,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Seattle,WA,54.9,-8.24,-11.5
"March 3, 2024",Refund,175-5645999-4442959,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,San Jose,CA,-54.9,8.24,0
"March 4, 2024",Order,485-2128715-6333883,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Denver,CO,54.9,-8.24,-12.27
